PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-8520,"Jantzen Audio 000-8520 | 0,10 mH | 0,10 Ω | 2% | 16 AWG",0.1,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8520.html,19.95
Intertechnik LU62/010/200,"Intertechnik LU62/010/200 | 0,1 mH | 0,05 Ω | 3% | 12 AWG",0.1,0.05,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-010-200.html,21.45
Jantzen Audio 000-8265,"Jantzen Audio 000-8265 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8265.html,23.45
Jantzen Audio 000-7282,"Jantzen Audio 000-7282 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7282.html,23.45
"Mundorf CFC14-0,10","Mundorf CFC14-0,10 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-010.html,23.95
Jantzen Audio 000-7009,"Jantzen Audio 000-7009 | 0,10 mH | 0,05 Ω | 2% | 12 AWG",0.1,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7009.html,32.45
Jantzen Audio 000-9010,"Jantzen Audio 000-9010 | 0,1 mH | 0,02 Ω | 2% | 8 AWG",0.1,0.02,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9010.html,62.94
Jantzen Audio 000-1782,"Jantzen Audio 000-1782 | 0,105 mH | 0,4 Ω | 3% | 17 AWG",0.105,0.4,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1782.html,18.45
Jantzen Audio 000-1620,"Jantzen Audio 000-1620 | 0,107 mH | 0,10 Ω | 3% | 17 AWG",0.107,0.1,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1620.html,7.45
Jantzen Audio 000-0917,"Jantzen Audio 000-0917 | 0,11 mH | 0,14 Ω | 3% | 18 AWG",0.11,0.14,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0917.html,6.45
Jantzen Audio 000-1621,"Jantzen Audio 000-1621 | 0,11 mH | 0,10 Ω | 3% | 17 AWG",0.11,0.1,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1621.html,7.45
Jantzen Audio 000-7622,"Jantzen Audio 000-7622 | 0,11 mH | 0,10 Ω | 2% | 16 AWG",0.11,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7622.html,19.44
Jantzen Audio 000-7010,"Jantzen Audio 000-7010 | 0,11 mH | 0,05 Ω | 2% | 12 AWG",0.11,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7010.html,33.44
Jantzen Audio 000-9011,"Jantzen Audio 000-9011 | 0,11 mH | 0,02 Ω | 2% | 8 AWG",0.11,0.02,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9011.html,63.45
Jantzen Audio 000-7623,"Jantzen Audio 000-7623 | 0,115 mH | 0,10 Ω | 2% | 16 AWG",0.115,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7623.html,20.45
Jantzen Audio 000-1675,"Jantzen Audio 000-1675 | 0,12 mH | 0,15 Ω | 3% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1675.html,6.45
Jantzen Audio 000-1680,"Jantzen Audio 000-1680 | 0,12 mH | 0,15 Ω | 3% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1680.html,6.95
"Mundorf L100-0,12","Mundorf L100-0,12 | 0,12 mH | 0,15 Ω | 2% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-012.html,7.25
