PartNumber,Description,Value,DCR_Ohm,AWG,Type,URL,Price
Jantzen Audio 000-1148,"Jantzen Audio 000-1148 | 0,1 mH | 0,23 Ω | 3% | 21 AWG",0.1,0.23,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1148.html,4.5
Jantzen Audio 000-1449,"Jantzen Audio 000-1449 | 0,10 mH | 0,19 Ω | 3% | 20 AWG",0.1,0.19,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1449.html,4.5
Jantzen Audio 000-1900,"Jantzen Audio 000-1900 | 0,10 mH | 0,25 Ω | 3% | 21 AWG",0.1,0.25,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1900.html,4.5
Jantzen Audio 000-1752,"Jantzen Audio 000-1752 | 0,10 mH | 0,29 Ω | 3% | 21 AWG",0.1,0.29,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1752.html,4.5
Jantzen Audio 000-1801,"Jantzen Audio 000-1801 | 0,10 mH | 0,23 Ω | 3% | 21 AWG",0.1,0.23,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1801.html,4.5
Jantzen Audio 000-1361,"Jantzen Audio 000-1361 | 0,1 mH | 0,32 Ω | 3% | 21 AWG",0.1,0.32,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1361.html,4.5
Jantzen Audio 000-1234,"Jantzen Audio 000-1234 | 0,10 mH | 0,12 Ω | 3% | 18 AWG",0.1,0.12,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1234.html,4.92
Intertechnik LU32/010/071,"Intertechnik LU32/010/071 | 0,1 mH | 0,26 Ω | 3% | 21 AWG",0.1,0.26,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu32-010-071.html,4.92
Jantzen Audio 000-1948,"Jantzen Audio 000-1948 | 0,10 mH | 0,13 Ω | 3% | 18 AWG",0.1,0.13,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1948.html,4.92
Jantzen Audio 000-1964,"Jantzen Audio 000-1964 | 0,10 mH | 0,13 Ω | 3% | 18 AWG",0.1,0.13,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1964.html,5.33
"Mundorf L100-0,10","Mundorf L100-0,10 | 0,10 mH | 0,14 Ω | 2% | 18 AWG",0.1,0.14,18.0,Air Core,https://www.soundimports.eu/en/mundorf-l100-010.html,5.74
Intertechnik LU25/010/060,"Intertechnik LU25/010/060 | 0,1 mH | 0,29 Ω | 3% | 23 AWG",0.1,0.29,23.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-010-060.html,5.74
Jantzen Audio 000-0206,"Jantzen Audio 000-0206 | 0,10 mH | 0,18 Ω | 3% | 18 AWG",0.1,0.18,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0206.html,5.74
Jantzen Audio 000-1810,"Jantzen Audio 000-1810 | 0,10 mH | 0,09 Ω | 3% | 17 AWG",0.1,0.09,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1810.html,6.16
Jantzen Audio 000-0951,"Jantzen Audio 000-0951 | 0,10 mH | 0,096 Ω | 3% | 17 AWG",0.1,0.096,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0951.html,6.16
Jantzen Audio 000-1533,"Jantzen Audio 000-1533 | 0,1 mH | 0,12 Ω | 3% | 17 AWG",0.1,0.12,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1533.html,6.57
Jantzen Audio 000-1535,"Jantzen Audio 000-1535 | 0,10 mH | 0,075 Ω | 3% | 15 AWG",0.1,0.075,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1535.html,6.57
Intertechnik LUT32/010/10,"Intertechnik LUT32/010/10 | 0,1 mH | 0,17 Ω | 3% | 18 AWG",0.1,0.17,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lut32-010-10.html,7.81
Jantzen Audio 000-L-0010,"Jantzen Audio 000-L-0010 | 0,10 mH | 0,09 Ω | 3% | 15 AWG",0.1,0.09,15.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-l-0010.html,8.64
Jantzen Audio 000-0002,"Jantzen Audio 000-0002 | 0,10 mH | 0,067 Ω | 3% | 14 AWG",0.1,0.067,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0002.html,8.64
Intertechnik LU44/010/100,"Intertechnik LU44/010/100 | 0,1 mH | 0,14 Ω | 3% | 18 AWG",0.1,0.14,18.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu44-010-100.html,9.46
Intertechnik LU55/010/140,"Intertechnik LU55/010/140 | 0,1 mH | 0,08 Ω | 3% | 15 AWG",0.1,0.08,15.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu55-010-140.html,10.29
"Mundorf CFC16-0,10","Mundorf CFC16-0,10 | 0,10 mH | 0,10 Ω | 2% | 16,5 AWG",0.1,0.1,16.5,Air Core,https://www.soundimports.eu/en/mundorf-cfc16-010.html,14.83
Jantzen Audio 000-7620,"Jantzen Audio 000-7620 | 0,10 mH | 0,10 Ω | 2% | 16 AWG",0.1,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7620.html,15.25
Intertechnik CO30/010/090,"Intertechnik CO30/010/090 | 0,1 mH | 0,10 Ω | 5% | 19 AWG",0.1,0.1,19.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-co30-010-090.html,16.49
Jantzen Audio 000-8520,"Jantzen Audio 000-8520 | 0,10 mH | 0,10 Ω | 2% | 16 AWG",0.1,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8520.html,16.49
Intertechnik LU62/010/200,"Intertechnik LU62/010/200 | 0,1 mH | 0,05 Ω | 3% | 12 AWG",0.1,0.05,12.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu62-010-200.html,17.73
Jantzen Audio 000-8265,"Jantzen Audio 000-8265 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-8265.html,19.38
Jantzen Audio 000-7282,"Jantzen Audio 000-7282 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7282.html,19.38
"Mundorf CFC14-0,10","Mundorf CFC14-0,10 | 0,10 mH | 0,07 Ω | 2% | 14 AWG",0.1,0.07,14.0,Air Core,https://www.soundimports.eu/en/mundorf-cfc14-010.html,19.79
Jantzen Audio 000-7009,"Jantzen Audio 000-7009 | 0,10 mH | 0,05 Ω | 2% | 12 AWG",0.1,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7009.html,26.82
Jantzen Audio 000-9010,"Jantzen Audio 000-9010 | 0,1 mH | 0,02 Ω | 2% | 8 AWG",0.1,0.02,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9010.html,52.02
Jantzen Audio 000-1782,"Jantzen Audio 000-1782 | 0,105 mH | 0,4 Ω | 3% | 17 AWG",0.105,0.4,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1782.html,15.25
Jantzen Audio 000-1620,"Jantzen Audio 000-1620 | 0,107 mH | 0,10 Ω | 3% | 17 AWG",0.107,0.1,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1620.html,6.16
Jantzen Audio 000-1692,"Jantzen Audio 000-1692 | 0,11 mH | 0,25 Ω | 3% | 21 AWG",0.11,0.25,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1692.html,4.5
Jantzen Audio 000-1634,"Jantzen Audio 000-1634 | 0,11 mH | 0,20 Ω | 3% | 20 AWG",0.11,0.2,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1634.html,4.5
Jantzen Audio 000-0917,"Jantzen Audio 000-0917 | 0,11 mH | 0,14 Ω | 3% | 18 AWG",0.11,0.14,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-0917.html,5.33
Jantzen Audio 000-1621,"Jantzen Audio 000-1621 | 0,11 mH | 0,10 Ω | 3% | 17 AWG",0.11,0.1,17.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1621.html,6.16
Jantzen Audio 000-7622,"Jantzen Audio 000-7622 | 0,11 mH | 0,10 Ω | 2% | 16 AWG",0.11,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7622.html,16.07
Jantzen Audio 000-7010,"Jantzen Audio 000-7010 | 0,11 mH | 0,05 Ω | 2% | 12 AWG",0.11,0.05,12.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7010.html,27.64
Jantzen Audio 000-9011,"Jantzen Audio 000-9011 | 0,11 mH | 0,02 Ω | 2% | 8 AWG",0.11,0.02,8.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-9011.html,52.44
Jantzen Audio 000-7623,"Jantzen Audio 000-7623 | 0,115 mH | 0,10 Ω | 2% | 16 AWG",0.115,0.1,16.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-7623.html,16.9
Jantzen Audio 000-1003,"Jantzen Audio 000-1003 | 0,12 mH | 0,32 Ω | 3% | 22 AWG",0.12,0.32,22.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1003.html,3.68
Jantzen Audio 000-1325,"Jantzen Audio 000-1325 | 0,12 mH | 0,44 Ω | 3% | 24 AWG",0.12,0.44,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1325.html,4.09
Jantzen Audio 000-1811,"Jantzen Audio 000-1811 | 0,12 mH | 0,47 Ω | 3% | 24 AWG",0.12,0.47,24.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1811.html,4.09
Jantzen Audio 000-1090,"Jantzen Audio 000-1090 | 0,12 mH | 0,25 Ω | 3% | 21 AWG",0.12,0.25,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1090.html,4.5
Jantzen Audio 000-1812,"Jantzen Audio 000-1812 | 0,12 mH | 0,21 Ω | 3% | 20 AWG",0.12,0.21,20.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1812.html,4.5
Jantzen Audio 000-1261,"Jantzen Audio 000-1261 | 0,12 mH | 0,26 Ω | 3% | 21 AWG",0.12,0.26,21.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1261.html,4.5
Intertechnik LU32/012/071,"Intertechnik LU32/012/071 | 0,12 mH | 0,28 Ω | 3% | 21 AWG",0.12,0.28,21.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu32-012-071.html,4.92
Jantzen Audio 000-1675,"Jantzen Audio 000-1675 | 0,12 mH | 0,15 Ω | 3% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1675.html,5.33
Jantzen Audio 000-1680,"Jantzen Audio 000-1680 | 0,12 mH | 0,15 Ω | 3% | 18 AWG",0.12,0.15,18.0,Air Core,https://www.soundimports.eu/en/jantzen-audio-000-1680.html,5.74
Intertechnik LU25/012/060,"Intertechnik LU25/012/060 | 0,12 mH | 0,32 Ω | 3% | 23 AWG",0.12,0.32,23.0,Air Core,https://www.soundimports.eu/en/it-intertechnik-lu25-012-060.html,5.74
