PartNumber,Description,Value,Power_W,Tolerance_pct,URL,Price
Jantzen Audio 002-0253,"Jantzen Audio 002-0253 | 0,39 Ω | 5 W | 5%",0.39,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0253.html,0.82
Intertechnik MOX04/039,"Intertechnik MOX04/039 | 0,39 Ω | 4 W | 5%",0.39,4.0,5.0,https://www.soundimports.eu/en/it-intertechnik-mox04-039.html,0.98
Intertechnik WAX10/0.39/5,"Intertechnik WAX10/0.39/5 | 0,39 Ω | 10 W | 5%",0.39,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-39-5.html,1.23
Jantzen Audio 002-0388,"Jantzen Audio 002-0388 | 0,39 Ω | 10 W | 5%",0.39,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0388.html,1.23
Intertechnik WAX20/0.39/5,"Intertechnik WAX20/0.39/5 | 0,39 Ω | 20 W | 5%",0.39,20.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax20-0-39-5.html,1.86
Intertechnik MOX10/039,"Intertechnik MOX10/039 | 0,39 Ω | 10 W | 2%",0.39,10.0,2.0,https://www.soundimports.eu/en/it-intertechnik-mox10-039.html,2.47
Jantzen Audio 002-012639,"Jantzen Audio 002-012639 | 0,39 Ω | 10 W | 1%",0.39,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-012639.html,5.33
"Mundorf MREU30-0,39T1C","Mundorf MREU30-0,39T1C | 0,39 Ω | 3/30 W | 1%",0.39,3.0,1.0,https://www.soundimports.eu/en/mundorf-mreu30-039t1c.html,31.36
Jantzen Audio 002-0532,"Jantzen Audio 002-0532 | 0,43 Ω | 5 W | 5%",0.43,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0532.html,0.82
Jantzen Audio 002-0535,"Jantzen Audio 002-0535 | 0,47 Ω | 5 W | 5%",0.47,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0535.html,0.82
Intertechnik WAX5/0.47/5,"Intertechnik WAX5/0.47/5 | 0,47 Ω | 5 W | 5%",0.47,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-47-5.html,0.82
Jantzen Audio 002-0256,"Jantzen Audio 002-0256 | 0,47 Ω | 5 W | 5%",0.47,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0256.html,0.82
Jantzen Audio 002-0706,"Jantzen Audio 002-0706 | 0,47 Ω | 10 W | 5%",0.47,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0706.html,0.82
Intertechnik MOX04/047,"Intertechnik MOX04/047 | 0,47 Ω | 4 W | 5%",0.47,4.0,5.0,https://www.soundimports.eu/en/it-intertechnik-mox04-047.html,0.98
Jantzen Audio 002-0859,"Jantzen Audio 002-0859 | 0,47 Ω | 20 W | 5%",0.47,20.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0859.html,1.23
Jantzen Audio 002-0391,"Jantzen Audio 002-0391 | 0,47 Ω | 10 W | 5%",0.47,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0391.html,1.23
Intertechnik WAX10/0.47/5,"Intertechnik WAX10/0.47/5 | 0,47 Ω | 10 W | 5%",0.47,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-47-5.html,1.23
Jantzen Audio 002-0010,"Jantzen Audio 002-0010 | 0,47 Ω | 5 W | 1%",0.47,5.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-0010.html,1.64
"Mundorf MR5-0,47","Mundorf MR5-0,47 | 0,47 Ω | 5 W | 2%",0.47,5.0,2.0,https://www.soundimports.eu/en/mundorf-mr5-047.html,1.64
Intertechnik M200/0047,"Intertechnik M200/0047 | 0,47 Ω | 2 W | 1%",0.47,2.0,1.0,https://www.soundimports.eu/en/it-intertechnik-m200-0047.html,1.86
Intertechnik WAX20/0.47/5,"Intertechnik WAX20/0.47/5 | 0,47 Ω | 20 W | 5%",0.47,20.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax20-0-47-5.html,1.86
Intertechnik MOX10/047,"Intertechnik MOX10/047 | 0,47 Ω | 10 W | 2%",0.47,10.0,2.0,https://www.soundimports.eu/en/it-intertechnik-mox10-047.html,2.47
Intertechnik ME047,"Intertechnik ME047 | 0,47 Ω | 6 W | 1%",0.47,6.0,1.0,https://www.soundimports.eu/en/it-intertechnik-me047.html,4.34
Jantzen Audio 002-0127,"Jantzen Audio 002-0127 | 0,47 Ω | 10 W | 1%",0.47,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-0127.html,5.33
"Mundorf MRES20-0,47","Mundorf MRES20-0,47 | 0,47 Ω | 20 W | 2%",0.47,20.0,2.0,https://www.soundimports.eu/en/mundorf-mres20-047.html,20.62
Intertechnik MEF3/047,"Intertechnik MEF3/047 | 0,47 Ω | 3 W | 1%",0.47,3.0,1.0,https://www.soundimports.eu/en/it-intertechnik-mef3-047.html,41.28
Jantzen Audio 002-0538,"Jantzen Audio 002-0538 | 0,51 Ω | 5 W | 5%",0.51,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0538.html,0.82
Intertechnik WAX5/051/5,"Intertechnik WAX5/051/5 | 0,51 Ω | 5 W | 5%",0.51,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-ww5-ax-051-5.html,0.82
Dayton Audio DNR-0.51,Dayton Audio DNR-0.51 | 0.51 Ω | 10 W | 2%,0.51,10.0,2.0,https://www.soundimports.eu/en/dayton-audio-dnr-051.html,1.64
Dayton Audio DPR10-0.51,Dayton Audio DPR10-0.51 | 0.51 Ω | 10 W | 1%,0.51,10.0,1.0,https://www.soundimports.eu/en/dayton-audio-dpr10-051.html,2.47
Jantzen Audio 002-0130,"Jantzen Audio 002-0130 | 0,51 Ω | 10 W | 1%",0.51,10.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-0130.html,5.33
Dayton Audio DPR20-0.51,Dayton Audio DPR20-0.51 | 0.51 Ω | 20 W | 1%,0.51,20.0,1.0,https://www.soundimports.eu/en/dayton-audio-dpr20-051.html,5.74
Intertechnik WAX5/0.56/5,"Intertechnik WAX5/0.56/5 | 0,56 Ω | 5 W | 5%",0.56,5.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax5-0-56-5.html,0.82
Jantzen Audio 002-0259,"Jantzen Audio 002-0259 | 0,56 Ω | 5 W | 5%",0.56,5.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0259.html,0.82
Jantzen Audio 002-0712,"Jantzen Audio 002-0712 | 0,56 Ω | 10 W | 5%",0.56,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0712.html,0.82
Intertechnik MOX04/056,"Intertechnik MOX04/056 | 0,56 Ω | 4 W | 5%",0.56,4.0,5.0,https://www.soundimports.eu/en/it-intertechnik-mox04-056.html,0.98
Intertechnik WAX10/0.56/5,"Intertechnik WAX10/0.56/5 | 0,56 Ω | 10 W | 5%",0.56,10.0,5.0,https://www.soundimports.eu/en/it-intertechnik-wax10-0-56-5.html,1.23
Jantzen Audio 002-0862,"Jantzen Audio 002-0862 | 0,56 Ω | 20 W | 5%",0.56,20.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0862.html,1.23
Jantzen Audio 002-0394,"Jantzen Audio 002-0394 | 0,56 Ω | 10 W | 5%",0.56,10.0,5.0,https://www.soundimports.eu/en/jantzen-audio-002-0394.html,1.23
Jantzen Audio 002-0016,"Jantzen Audio 002-0016 | 0,56 Ω | 5 W | 1%",0.56,5.0,1.0,https://www.soundimports.eu/en/jantzen-audio-002-0016.html,1.64
