PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-586,Solen 24uF 400V Polypropylene Capacitor,24.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-24uF-400V-Polypropylene-Capacitor-027-586,16.1
027-256,Dayton Audio PMPC-25 25uF 250V Precision Audio C,25.0,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-25-25uF-250V-Precision-Audio-Capacitor-027-256,6.29
027-438,Dayton Audio DMPC-25 25uF 250V Polypropylene C,25.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-25-25uF-250V-Polypropylene-Capacitor-027-438,17.69
027-439,Dayton Audio DMPC-27 27uF 250V Polypropylene C,27.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-27-27uF-250V-Polypropylene-Capacitor-027-439,6.99
027-588,Solen 27uF 400V Polypropylene Capacitor,27.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-27uF-400V-Polypropylene-Capacitor-027-588,18.49
027-942,Jantzen 0274 27uF 400V Crosscap Capacitor,27.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0274-27uF-400V-Crosscap-Capacitor-027-942,12.17
027-440,Dayton Audio DMPC-30 30uF 250V Polypropylene C,30.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-30-30uF-250V-Polypropylene-Capacitor-027-440,7.69
027-590,Solen 30uF 400V Polypropylene Capacitor 027-590,30.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-30uF-400V-Polypropylene-Capacitor-027-590,7.69
027-441,Dayton Audio DMPC-33 33uF 250V Polypropylene C,33.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-33-33uF-250V-Polypropylene-Capacitor-027-441,9.29
027-288,Jantzen 0458 33uF 400V Z-Standard Capacitor,33.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0458-33uF-400V-Z-Standard-Capacitor-027-288,22.27
027-121,Audyn Cap Q4 33uF 400V MKP Foil Capacitor,33.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-33uF-400V-MKP-Foil-Capacitor-027-121,15.07
027-592,Solen 33uF 400V Polypropylene Capacitor,33.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-33uF-400V-Polypropylene-Capacitor-027-592,9.29
027-944,Jantzen 0278 33uF 400V Crosscap Capacitor,33.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0278-33uF-400V-Crosscap-Capacitor-027-944,14.69
027-350,33uF 100V Non-Polarized Capacitor,33.0,10.0,100.0,Non-Polarized Electrolytic,https://www.parts-express.com/33uF-100V-Non-Polarized-Capacitor-027-350,1.49
027-594,Solen 36uF 400V Polypropylene Capacitor,36.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-36uF-400V-Polypropylene-Capacitor-027-594,24.68
027-946,Jantzen 0280 39uF 400V Crosscap Capacitor,39.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0280-39uF-400V-Crosscap-Capacitor-027-946,9.89
027-596,Solen 39uF 400V Polypropylene Capacitor,39.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-39uF-400V-Polypropylene-Capacitor-027-596,19.02
027-260,Dayton Audio PMPC-40 40uF 250V Precision Audio C,40.0,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-40-40uF-250V-Precision-Audio-Capacitor-027-260,9.89
027-442,Dayton Audio DMPC-40 40uF 250V Polypropylene C,40.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-40-40uF-250V-Polypropylene-Capacitor-027-442,19.02
027-448,Dayton Audio DMPC-47 47uF 250V Polypropylene C,47.0,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-47-47uF-250V-Polypropylene-Capacitor-027-448,12.99
027-122,Audyn Cap Q4 47uF 400V MKP Foil Capacitor,47.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-47uF-400V-MKP-Foil-Capacitor-027-122,20.86
027-600,Solen 47uF 400V Polypropylene Capacitor,47.0,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Solen-47uF-400V-Polypropylene-Capacitor-027-600,12.99
